beat,phase,position,active_wr,active_wrp,WR_blue,WR_red,M_wr,WRP_blue,WRP_red,M_wrp,M_sum,rd_high_v,rd_controlled_vout,direction
0,INIT,,WR1,WRP5,0.3,0.29999999999999993,0.5999999999999999,0.65,0.6499999999999999,1.2999999999999998,1.8999999999999997,0.0,0.0,INIT
1,STEP1,1,WR1,WRP1,0.3,0.29999999999999993,0.5999999999999999,0.3,0.29999999999999993,0.5999999999999999,1.1999999999999997,5.0,1.1999999999999997,Left
2,STEP2,2,WR2,WRP2,0.3,0.3349919047951815,0.6349919047951815,0.3,0.3349919047951815,0.6349919047951815,1.269983809590363,5.0,1.269983809590363,Right
3,STEP3,3,WR3,WRP3,0.3,0.4339524788045135,0.7339524788045135,0.3,0.4339524788045135,0.7339524788045135,1.467904957609027,5.0,1.467904957609027,Right
4,STEP4,3,WR3,WRP3,0.3,0.4339524788045135,0.7339524788045135,0.3,0.4339524788045135,0.7339524788045135,1.467904957609027,5.0,1.467904957609027,Neutral
5,STEP5,3,WR3,WRP3,0.3,0.4339524788045135,0.7339524788045135,0.3,0.4339524788045135,0.7339524788045135,1.467904957609027,5.0,1.467904957609027,Neutral
